date,open,high,low,close,volume,Symbol,Name,Industry
2018-02-01,115.77,116.985,115.48,116.87,13800613,JPM,JPMorgan Chase & Co.,Banks
2018-02-02,116.49,116.92,114.09,114.28,16477307,JPM,JPMorgan Chase & Co.,Banks
2018-02-05,113.0,114.59,103.98,108.8,30097591,JPM,JPMorgan Chase & Co.,Banks
2018-02-06,106.85,112.48,106.61,112.11,33114833,JPM,JPMorgan Chase & Co.,Banks
2018-02-07,111.55,114.45,111.146,112.87,21878324,JPM,JPMorgan Chase & Co.,Banks
2018-01-02,20.32,20.37,20.04,20.17,6022760,KEY,KeyCorp,Banks
2018-01-03,20.23,20.295,20.1,20.24,9274445,KEY,KeyCorp,Banks
2018-01-04,20.44,20.59,20.28,20.32,10503329,KEY,KeyCorp,Banks
2018-01-05,20.47,20.47,20.215,20.33,5887406,KEY,KeyCorp,Banks
2018-01-08,20.35,20.35,20.16,20.28,7924685,KEY,KeyCorp,Banks
2018-01-09,20.37,20.89,20.3,20.74,9833897,KEY,KeyCorp,Banks
2018-01-10,20.82,21.28,20.76,21.01,8898065,KEY,KeyCorp,Banks
2018-01-11,21.13,21.24,21.025,21.19,6688250,KEY,KeyCorp,Banks
2018-01-12,21.36,21.465,21.19,21.42,10075339,KEY,KeyCorp,Banks
2018-01-16,21.54,21.71,21.17,21.32,10278721,KEY,KeyCorp,Banks
2018-01-17,21.33,21.4,21.06,21.26,11754751,KEY,KeyCorp,Banks
2018-01-18,20.66,21.0,20.62,20.82,20398050,KEY,KeyCorp,Banks
2018-01-19,20.77,21.37,20.77,21.16,13614716,KEY,KeyCorp,Banks
2018-01-22,21.13,21.42,21.08,21.39,9070523,KEY,KeyCorp,Banks
2018-01-23,21.3,21.77,21.26,21.61,9896574,KEY,KeyCorp,Banks
2018-01-24,21.71,21.87,21.575,21.73,10367911,KEY,KeyCorp,Banks
2018-01-25,21.88,21.88,21.57,21.67,10159625,KEY,KeyCorp,Banks
2018-01-26,21.7,21.86,21.44,21.83,8426174,KEY,KeyCorp,Banks
2018-01-29,21.78,21.99,21.7,21.8,9114451,KEY,KeyCorp,Banks
2018-01-30,21.65,21.84,21.43,21.43,11783461,KEY,KeyCorp,Banks
2018-01-31,21.46,21.63,21.315,21.4,7680616,KEY,KeyCorp,Banks
